Modelo,Base,Tipo,Treino,Previsao,RMSE,MAPE,Loja,Item
ARIMA,Favorita,Item,16.12,0.02,1044,72.35,47,1.05e+06
CNN,Favorita,Item,4.67,0.12,317,16.97,47,1.05e+06
LSMT,Favorita,Item,7.99,0.52,291,14.73,47,1.05e+06
Prophet,Favorita,Item,0.17,0.05,1228,84.7,47,1.05e+06
ARIMA,Favorita,Item,5.66,0.0,260,8.43,47,1.50e+06
CNN,Favorita,Item,3.61,0.13,313,10.28,47,1.50e+06
LSMT,Favorita,Item,11.54,0.52,323,10.78,47,1.50e+06
Prophet,Favorita,Item,0.15,0.06,317,10.61,47,1.50e+06
ARIMA,Favorita,Item,402.45,0.05,251,13.18,48,584028
CNN,Favorita,Item,4.43,0.12,239,12.85,48,584028
LSMT,Favorita,Item,16.68,0.51,272,14.23,48,584028
Prophet,Favorita,Item,0.17,0.06,271,14.64,48,584028
ARIMA,Favorita,Item,16.15,0.0,413,13.19,48,1.46e+06
CNN,Favorita,Item,3.53,0.18,450,14.43,48,1.46e+06
LSMT,Favorita,Item,12.34,0.5,356,12.16,48,1.46e+06
Prophet,Favorita,Item,0.23,0.04,595,19.58,48,1.46e+06
ARIMA,Favorita,Item,16.75,0.01,217,7.68,49,1.47e+06
CNN,Favorita,Item,4.53,0.13,312,10.6,49,1.47e+06
LSMT,Favorita,Item,11.63,0.5,199,6.72,49,1.47e+06
Prophet,Favorita,Item,0.17,0.05,252,9.79,49,1.47e+06
ARIMA,Favorita,Item,110.42,0.01,475,10.3,49,1.50e+06
CNN,Favorita,Item,3.61,0.12,616,13.54,49,1.50e+06
LSMT,Favorita,Item,12.04,0.5,476,10.03,49,1.50e+06
Prophet,Favorita,Item,0.17,0.07,516,11.19,49,1.50e+06
ARIMA,Favorita,Item,743.83,0.06,199,26.19,50,364606
CNN,Favorita,Item,4.72,0.17,134,14.84,50,364606
LSMT,Favorita,Item,17.85,0.52,109,12.19,50,364606
Prophet,Favorita,Item,0.22,0.08,244,32.64,50,364606
ARIMA,Favorita,Item,346.11,0.02,139,10.93,50,584028
CNN,Favorita,Item,4.74,0.18,153,12.25,50,584028
LSMT,Favorita,Item,16.94,0.52,136,12.03,50,584028
Prophet,Favorita,Item,0.23,0.07,252,21.3,50,584028
ARIMA,Favorita,Item,13.48,0.0,416,39.91,51,257847
CNN,Favorita,Item,4.89,0.15,350,25.21,51,257847
LSMT,Favorita,Item,7.4,0.51,316,23.83,51,257847
Prophet,Favorita,Item,0.19,0.07,294,23.06,51,257847
ARIMA,Favorita,Item,28.66,0.01,488,18.56,51,1.50e+06
CNN,Favorita,Item,4.08,0.16,272,8.79,51,1.50e+06
LSMT,Favorita,Item,12.01,0.52,405,15.53,51,1.50e+06
Prophet,Favorita,Item,0.18,0.05,529,19.87,51,1.50e+06
ARIMA,M5,Item,16.06,0.01,399,5.64e+19,CA_1,FOODS_3_090
CNN,M5,Item,5.28,0.12,212,3.21e+19,CA_1,FOODS_3_090
LSMT,M5,Item,12.61,0.54,162,1.76e+19,CA_1,FOODS_3_090
Prophet,M5,Item,0.2,0.06,214,3.04e+19,CA_1,FOODS_3_090
ARIMA,M5,Item,628.16,0.06,50,14.73,CA_1,FOODS_3_586
CNN,M5,Item,5.72,0.14,43,11.99,CA_1,FOODS_3_586
LSMT,M5,Item,6.92,0.52,38,10.52,CA_1,FOODS_3_586
Prophet,M5,Item,0.19,0.07,43,10.99,CA_1,FOODS_3_586
ARIMA,M5,Item,445.4,0.06,84,40.44,CA_2,FOODS_3_252
CNN,M5,Item,4.98,0.13,78,27.73,CA_2,FOODS_3_252
LSMT,M5,Item,6.62,0.8,54,23.24,CA_2,FOODS_3_252
Prophet,M5,Item,0.2,0.06,80,40.77,CA_2,FOODS_3_252
ARIMA,M5,Item,124.99,0.01,121,73.66,CA_2,FOODS_3_586
CNN,M5,Item,6.18,0.14,71,34.89,CA_2,FOODS_3_586
LSMT,M5,Item,8.22,0.52,50,23.82,CA_2,FOODS_3_586
Prophet,M5,Item,0.19,0.07,119,71.45,CA_2,FOODS_3_586
ARIMA,M5,Item,263.24,0.01,419,1656.37,CA_3,FOODS_3_090
CNN,M5,Item,5.89,0.16,354,827.5,CA_3,FOODS_3_090
LSMT,M5,Item,22.35,0.52,308,790.04,CA_3,FOODS_3_090
Prophet,M5,Item,0.2,0.07,398,1252.76,CA_3,FOODS_3_090
ARIMA,M5,Item,739.15,0.01,90,16.98,CA_3,FOODS_3_586
CNN,M5,Item,5.85,0.15,67,11.13,CA_3,FOODS_3_586
LSMT,M5,Item,19.52,0.52,68,10.65,CA_3,FOODS_3_586
Prophet,M5,Item,0.18,0.07,108,20.6,CA_3,FOODS_3_586
ARIMA,M5,Item,18.44,0.0,100,1.61e+19,CA_4,FOODS_3_090
CNN,M5,Item,5.75,0.15,86,1.15e+19,CA_4,FOODS_3_090
LSMT,M5,Item,12.88,0.52,77,7.29e+18,CA_4,FOODS_3_090
Prophet,M5,Item,0.18,0.07,114,1.54e+19,CA_4,FOODS_3_090
ARIMA,M5,Item,13.77,0.01,60,72.24,CA_4,FOODS_3_586
CNN,M5,Item,4.67,0.13,23,21.64,CA_4,FOODS_3_586
LSMT,M5,Item,7.86,0.5,22,22.52,CA_4,FOODS_3_586
Prophet,M5,Item,0.29,0.16,55,63.27,CA_4,FOODS_3_586
ARIMA,M5,Item,9.73,0.0,176,2.93e+19,TX_1,FOODS_3_090
CNN,M5,Item,4.72,0.13,147,1.89e+19,TX_1,FOODS_3_090
LSMT,M5,Item,22.34,0.52,140,1.18e+19,TX_1,FOODS_3_090
Prophet,M5,Item,0.18,0.1,185,2.39e+19,TX_1,FOODS_3_090
ARIMA,M5,Item,241.24,0.01,85,23.08,TX_1,FOODS_3_586
CNN,M5,Item,4.4,0.12,54,12.45,TX_1,FOODS_3_586
LSMT,M5,Item,7.23,0.8,52,12.9,TX_1,FOODS_3_586
Prophet,M5,Item,0.25,0.1,51,11.6,TX_1,FOODS_3_586
ARIMA,M5,Item,32.29,0.01,213,3.62e+19,TX_2,FOODS_3_090
CNN,M5,Item,4.62,0.15,230,3.45e+19,TX_2,FOODS_3_090
LSMT,M5,Item,28.2,0.63,177,1.76e+19,TX_2,FOODS_3_090
Prophet,M5,Item,0.35,0.15,218,3.19e+19,TX_2,FOODS_3_090
ARIMA,M5,Item,378.33,0.01,119,17.65,TX_2,FOODS_3_586
CNN,M5,Item,4.42,0.12,98,12.03,TX_2,FOODS_3_586
LSMT,M5,Item,26.63,0.64,99,11.84,TX_2,FOODS_3_586
Prophet,M5,Item,0.2,0.08,93,11.58,TX_2,FOODS_3_586
ARIMA,M5,Item,307.46,0.01,192,3.06e+19,TX_3,FOODS_3_090
CNN,M5,Item,5.32,0.12,206,2.90e+19,TX_3,FOODS_3_090
LSMT,M5,Item,26.09,0.54,166,1.46e+19,TX_3,FOODS_3_090
Prophet,M5,Item,0.2,0.07,224,3.23e+19,TX_3,FOODS_3_090
ARIMA,M5,Item,219.4,0.01,88,14.79,TX_3,FOODS_3_586
CNN,M5,Item,4.53,0.12,90,14.9,TX_3,FOODS_3_586
