Série Temporal,RMSE,MAPE,Treino,Previsao
Olist_Produto_Loja_8_Item_15_ARIMA,2,1.4e+17,26.7,0.01
Olist_Produto_Loja_8_Item_15_CNN,2,1.8e+17,2.7,0.12
Olist_Produto_Loja_8_Item_15_LSTM,7,5.7e+17,11.9,0.56
Olist_Produto_Loja_8_Item_15_Prophet,41,8.6e+18,0.7,0.04
Olist_Produto_Loja_8_Item_16_ARIMA,3,4.5e+17,15.4,0.0
Olist_Produto_Loja_8_Item_16_CNN,3,5.6e+17,2.7,0.13
Olist_Produto_Loja_8_Item_16_LSTM,7,1.2e+18,11.5,0.61
Olist_Produto_Loja_8_Item_16_Prophet,4,4.4e+17,0.5,0.05
Olist_Produto_Loja_9_Item_17_ARIMA,2,5.0e+17,38.3,0.01
Olist_Produto_Loja_9_Item_17_CNN,1,1.6e+17,2.7,0.15
Olist_Produto_Loja_9_Item_17_LSTM,8,1.1e+18,9.9,0.56
Olist_Produto_Loja_9_Item_17_Prophet,2,5.1e+16,0.5,0.04
Olist_Produto_Loja_9_Item_18_ARIMA,1,1.5e+17,12.2,0.0
Olist_Produto_Loja_9_Item_18_CNN,1,3.6e+17,2.6,0.12
Olist_Produto_Loja_9_Item_18_LSTM,6,1.0e+18,10.4,0.54
Olist_Produto_Loja_9_Item_18_Prophet,2,1.4e+17,0.7,0.04
Olist_Loja_Loja_1_Todos_ARIMA,19,84.4,26.4,0.01
Olist_Loja_Loja_1_Todos_CNN,18,41.2,2.7,0.12
Olist_Loja_Loja_1_Todos_LSTM,18,56.4,12.2,0.58
Olist_Loja_Loja_1_Todos_Prophet,23,91.4,0.7,0.04
Olist_Loja_Loja_10_Todos_ARIMA,25,489.2,21.0,0.01
Olist_Loja_Loja_10_Todos_CNN,7,126.1,2.9,0.13
Olist_Loja_Loja_10_Todos_LSTM,5,86.4,12.2,0.56
Olist_Loja_Loja_10_Todos_Prophet,45,800.3,0.4,0.05
Olist_Loja_Loja_2_Todos_ARIMA,32,178.8,20.7,0.01
Olist_Loja_Loja_2_Todos_CNN,14,83.2,2.7,0.13
Olist_Loja_Loja_2_Todos_LSTM,14,79.4,11.4,0.59
Olist_Loja_Loja_2_Todos_Prophet,271,903.7,0.6,0.03
Olist_Loja_Loja_3_Todos_ARIMA,36,252.6,23.8,0.01
Olist_Loja_Loja_3_Todos_CNN,17,90.7,2.7,0.12
Olist_Loja_Loja_3_Todos_LSTM,75,302.2,11.6,0.57
Olist_Loja_Loja_3_Todos_Prophet,36,177.4,0.5,0.05
Olist_Loja_Loja_4_Todos_ARIMA,44,537.9,28.1,0.01
Olist_Loja_Loja_4_Todos_CNN,11,96.5,2.7,0.13
Olist_Loja_Loja_4_Todos_LSTM,81,438.9,11.9,0.56
Olist_Loja_Loja_4_Todos_Prophet,46,555.8,0.5,0.04
Olist_Loja_Loja_5_Todos_ARIMA,25,146.9,36.8,0.01
Olist_Loja_Loja_5_Todos_CNN,9,39.5,2.6,0.12
Olist_Loja_Loja_5_Todos_LSTM,121,491.8,11.7,0.64
Olist_Loja_Loja_5_Todos_Prophet,18,85.0,0.5,0.04
Olist_Loja_Loja_6_Todos_ARIMA,47,212.8,27.6,0.01
Olist_Loja_Loja_6_Todos_CNN,23,64.6,2.7,0.12
Olist_Loja_Loja_6_Todos_LSTM,349,1.3e+03,12.1,0.56
Olist_Loja_Loja_6_Todos_Prophet,88,210.2,0.8,0.03
Olist_Loja_Loja_7_Todos_ARIMA,16,6.3e+17,8.2,0.01
Olist_Loja_Loja_7_Todos_CNN,14,7.1e+17,2.6,0.15
Olist_Loja_Loja_7_Todos_LSTM,113,6.3e+18,12.0,0.62
Olist_Loja_Loja_7_Todos_Prophet,75,1.1e+18,0.6,0.04
Olist_Loja_Loja_8_Todos_ARIMA,16,1.1e+18,6.1,0.01
Olist_Loja_Loja_8_Todos_CNN,14,6.3e+17,2.6,0.15
Olist_Loja_Loja_8_Todos_LSTM,40,1.1e+18,12.4,0.55
Olist_Loja_Loja_8_Todos_Prophet,29,1.8e+18,0.4,0.04
Olist_Loja_Loja_9_Todos_ARIMA,23,172.5,34.2,0.01
Olist_Loja_Loja_9_Todos_CNN,12,53.5,2.6,0.12
Olist_Loja_Loja_9_Todos_LSTM,25,155.4,12.1,0.56
Olist_Loja_Loja_9_Todos_Prophet,66,189.3,0.6,0.03
